ticker,price_r2,news_r2,delta_r2,news_helps
ACB,-0.199106,-0.285875,-0.086769,False
BCM,-0.21716,-0.221153,-0.003992,False
BID,-0.105872,-0.15614,-0.050268,False
BVH,0.016576,-0.151884,-0.168461,False
CTG,-0.215773,-0.208059,0.007713,True
FPT,-0.062443,-0.079411,-0.016968,False
GAS,0.113834,0.055056,-0.058778,False
GVR,-0.069297,-0.087052,-0.017756,False
HDB,-0.22672,-0.548048,-0.321328,False
HPG,-0.09611,-0.183082,-0.086971,False
MBB,-0.275544,-0.464338,-0.188794,False
MSN,-0.050084,-0.09605,-0.045966,False
MWG,-0.192415,-0.216933,-0.024518,False
NVL,-0.092789,-0.067338,0.025451,True
PDR,-0.050588,-0.06401,-0.013422,False
PLX,0.079124,0.065844,-0.01328,False
POW,-0.230051,-0.075408,0.154644,True
SAB,0.017011,-0.057991,-0.075002,False
SHB,-0.121929,-2.385495,-2.263566,False
SSB,-0.111541,-0.067645,0.043896,True
SSI,-0.049584,-0.261614,-0.212031,False
STB,-0.036085,-0.064897,-0.028812,False
TCB,-0.048273,-0.092267,-0.043994,False
TPB,-0.091673,-0.078284,0.013389,True
VCB,-0.063208,-0.09642,-0.033212,False
VHM,-0.156829,-0.182849,-0.026021,False
VIB,-0.12682,-0.10764,0.01918,True
VIC,-0.277857,-0.326708,-0.048851,False
VJC,-0.087281,-0.183303,-0.096022,False
VNM,-0.013757,-0.0101,0.003656,True
