threshold,regime,n,price_r2,news_r2,delta_r2
0.6,high,2348,0.199257,0.201479,0.002223
0.6,low,18780,0.238261,0.238468,0.000207
0.6,all,21128,0.27915,0.279886,0.000736
0.7,high,1244,0.230089,0.232765,0.002676
0.7,low,19884,0.244036,0.244469,0.000433
0.7,all,21128,0.27915,0.279886,0.000736
0.8,high,466,0.158941,0.159913,0.000972
0.8,low,20662,0.252312,0.253066,0.000754
0.8,all,21128,0.27915,0.279886,0.000736
0.9,high,176,0.034427,0.034476,4.9e-05
0.9,low,20952,0.26476,0.265538,0.000778
0.9,all,21128,0.27915,0.279886,0.000736
